Date,Price,Open,High,Low,Vol.,Change %
"May 07, 2018",6084.50,6063.20,6110.20,6063.20,452.49M,0.0036
"May 04, 2018",6062.90,6098.30,6109.70,6061.30,571.98M,-0.0058
"May 03, 2018",6098.30,6050.20,6109.70,6050.20,663.25M,0.0080
"May 02, 2018",6050.20,6015.20,6053.60,6009.50,676.29M,0.0058
"May 01, 2018",6015.20,5982.70,6022.10,5978.50,613.62M,0.0054
"Apr 30, 2018",5982.70,5953.60,5991.10,5945.60,590.27M,0.0049
"Apr 27, 2018",5953.60,5910.80,5953.60,5910.80,641.57M,0.0072
"Apr 26, 2018",5910.80,5921.60,5938.80,5903.10,749.89M,-0.0018
"Apr 24, 2018",5921.60,5886.00,5928.80,5879.60,664.01M,0.0060
"Apr 23, 2018",5886.00,5868.80,5894.70,5868.80,444.08M,0.0029
"Apr 20, 2018",5868.80,5881.00,5887.00,5862.70,498.39M,-0.0021
"Apr 19, 2018",5881.00,5861.40,5902.90,5861.40,653.82M,0.0033
"Apr 18, 2018",5861.40,5841.50,5864.80,5841.50,479.65M,0.0034
"Apr 17, 2018",5841.50,5841.30,5871.10,5841.30,460.71M,0.0000
"Apr 16, 2018",5841.30,5829.10,5867.60,5829.10,393.70M,0.0021
"Apr 13, 2018",5829.10,5815.50,5844.70,5815.50,409.77M,0.0023
"Apr 12, 2018",5815.50,5828.70,5837.90,5801.50,588.30M,-0.0023
"Apr 11, 2018",5828.70,5857.00,5864.00,5825.30,495.89M,-0.0048
"Apr 10, 2018",5857.00,5808.70,5857.80,5785.70,438.80M,0.0083
"Apr 09, 2018",5808.70,5788.70,5816.60,5771.10,433.46M,0.0035
"Apr 06, 2018",5788.70,5788.80,5799.20,5761.90,405.11M,0.0000
"Apr 05, 2018",5788.80,5761.40,5806.00,5761.40,480.80M,0.0048
"Apr 04, 2018",5761.40,5751.90,5764.30,5728.80,604.25M,0.0017
"Apr 03, 2018",5751.90,5759.40,5766.00,5724.80,516.20M,-0.0013
"Mar 29, 2018",5759.40,5789.50,5804.30,5752.70,702.06M,-0.0052
"Mar 28, 2018",5789.50,5832.30,5832.30,5781.60,516.08M,-0.0073
"Mar 27, 2018",5832.30,5790.50,5837.50,5790.50,583.70M,0.0072
"Mar 26, 2018",5790.50,5820.70,5820.70,5773.30,534.66M,-0.0052
"Mar 23, 2018",5820.70,5937.20,5937.20,5808.10,608.96M,-0.0196
"Mar 22, 2018",5937.20,5950.30,5958.30,5909.10,607.14M,-0.0022
"Mar 21, 2018",5950.30,5936.40,5963.00,5934.70,557.82M,0.0023
"Mar 20, 2018",5936.40,5959.40,5959.40,5915.60,522.63M,-0.0039
"Mar 19, 2018",5959.40,5949.40,5982.50,5933.50,445.67M,0.0017
"Mar 16, 2018",5949.40,5920.90,5952.70,5920.90,1.04B,0.0048
"Mar 15, 2018",5920.90,5935.30,5935.30,5906.10,723.97M,-0.0024
"Mar 14, 2018",5935.30,5974.70,5974.70,5922.80,548.16M,-0.0066
"Mar 13, 2018",5974.70,5996.10,5996.10,5949.60,524.64M,-0.0036
"Mar 12, 2018",5996.10,5971.30,6026.10,5971.30,488.25M,0.0055
"Mar 09, 2018",5963.20,5942.90,5978.40,5942.10,528.10M,0.0034
"Mar 08, 2018",5942.90,5902.00,5942.90,5895.60,569.59M,0.0069
"Mar 07, 2018",5902.00,5962.40,5962.40,5895.30,559.20M,-0.0101
"Mar 06, 2018",5962.40,5895.00,5979.50,5895.00,622.33M,0.0114
"Mar 05, 2018",5895.00,5928.90,5928.90,5886.50,506.50M,-0.0057
"Mar 02, 2018",5928.90,5973.30,5973.30,5902.20,571.27M,-0.0074
"Mar 01, 2018",5973.30,6016.00,6016.00,5957.50,594.82M,-0.0071
"Feb 28, 2018",6016.00,6056.90,6056.90,6012.60,804.81M,-0.0068
"Feb 27, 2018",6056.90,6042.20,6083.00,6042.20,718.33M,0.0024
"Feb 26, 2018",6042.20,5999.80,6042.20,5999.80,600.21M,0.0071
"Feb 23, 2018",5999.80,5950.90,6003.40,5950.90,721.72M,0.0082
"Feb 22, 2018",5950.90,5943.70,5973.10,5928.30,728.83M,0.0012
"Feb 21, 2018",5943.70,5940.90,5955.20,5920.20,592.33M,0.0005
"Feb 20, 2018",5940.90,5941.60,5942.30,5912.70,524.93M,-0.0001
"Feb 19, 2018",5941.60,5904.40,5949.60,5890.20,555.94M,0.0064
"Feb 16, 2018",5904.00,5909.00,5938.10,5902.30,574.12M,-0.0008
"Feb 15, 2018",5909.00,5841.20,5913.10,5841.20,641.86M,0.0116
"Feb 14, 2018",5841.20,5855.90,5868.10,5830.80,546.16M,-0.0025
"Feb 13, 2018",5855.90,5820.70,5860.20,5814.90,589.95M,0.0060
"Feb 12, 2018",5820.70,5838.00,5840.50,5791.30,575.45M,-0.0030
"Feb 09, 2018",5838.00,5890.70,5890.70,5786.80,650.87M,-0.0089
"Feb 08, 2018",5890.70,5876.80,5893.60,5838.10,565.30M,0.0024
"Feb 07, 2018",5876.80,5833.30,5938.60,5833.30,793.67M,0.0075
"Feb 06, 2018",5833.30,6026.20,6026.20,5795.90,928.81M,-0.0320
"Feb 05, 2018",6026.20,6121.40,6121.40,6013.20,608.89M,-0.0156
"Feb 02, 2018",6121.40,6090.10,6121.40,6077.80,511.45M,0.0051
"Feb 01, 2018",6090.10,6037.70,6093.60,6037.70,642.01M,0.0087
"Jan 31, 2018",6037.70,6022.80,6043.70,5993.60,678.60M,0.0025
"Jan 30, 2018",6022.80,6075.40,6075.40,6016.50,496.27M,-0.0087
"Jan 29, 2018",6075.40,6050.00,6090.20,6050.00,487.77M,0.0042
